type,duration,gross,country,budget,year
Residential,102,32694788.0,USA,85000000.0,1999
Residential,135,113165635.0,USA,125000000.0,2012
Residential,125,107285004.0,USA,125000000.0,1997
Residential,110,260031035.0,USA,123000000.0,2000
Residential,124,186739919.0,USA,125000000.0,2004
Residential,123,215397307.0,USA,125000000.0,2000
Residential,130,182618434.0,USA,140000000.0,2000
Residential,92,131920333.0,USA,130000000.0,2007
Residential,127,124976634.0,USA,120000000.0,2012
Residential,123,115802596.0,USA,110000000.0,2007
Residential,123,108521835.0,UK,120000000.0,2016
Residential,107,100685880.0,USA,120000000.0,2003
Residential,124,126464904.0,USA,130000000.0,2012
Residential,77,64736114.0,USA,120000000.0,2002
Residential,109,93050117.0,USA,115000000.0,2013
Residential,134,57637485.0,USA,105000000.0,2004
Residential,117,58607007.0,USA,100000000.0,2014
Residential,135,43929341.0,USA,120000000.0,2008
Residential,121,30212620.0,USA,120000000.0,2010
Residential,117,76418654.0,USA,117000000.0,2010
Residential,124,89021735.0,USA,120000000.0,2013
Residential,140,380262555.0,USA,113000000.0,2005
Residential,142,310675583.0,USA,115000000.0,2002
Residential,92,289907418.0,USA,115000000.0,2001
Residential,138,132550960.0,USA,120000000.0,2013
Residential,136,474544677.0,USA,115000000.0,1999
Residential,98,187165546.0,USA,135000000.0,2013
Residential,153,40911830.0,USA,115000000.0,2002
Residential,120,47952020.0,USA,115000000.0,2016
Residential,101,190871240.0,USA,125000000.0,2014
Residential,91,274084951.0,UK,100000000.0,2013
Residential,108,67155742.0,USA,116000000.0,1997
Residential,112,81638674.0,USA,135000000.0,2016
Residential,100,56114221.0,USA,120000000.0,2015
Residential,108,250863268.0,USA,110000000.0,2006
Residential,114,155181732.0,USA,110000000.0,2015
Residential,119,125332007.0,UK,110000000.0,1997
Residential,142,113330342.0,USA,110000000.0,2000
Residential,125,125531634.0,USA,110000000.0,2004
Residential,126,186336103.0,USA,120000000.0,2005
Residential,119,129995817.0,USA,110000000.0,2015
Industrial,170,102608827.0,USA,110000000.0,2004
Residential,85,42776259.0,USA,112000000.0,2010
Residential,119,98780042.0,USA,120000000.0,2011
Residential,102,106369117.0,USA,110000000.0,2014
Residential,103,142614158.0,USA,110000000.0,2011
Residential,76,50026353.0,USA,110000000.0,2004
Residential,120,66002193.0,USA,110000000.0,2016
Residential,127,85463309.0,USA,110000000.0,2011
Residential,105,71017784.0,USA,105000000.0,2013
Residential,121,48068396.0,USA,160000000.0,1997
Residential,114,61656849.0,USA,110000000.0,2013
Residential,129,134520804.0,USA,110000000.0,2007
Residential,171,313837577.0,New Zealand,93000000.0,2001
Residential,120,24004159.0,USA,110000000.0,2004
Industrial,165,58183966.0,USA,107000000.0,2001
Residential,82,100446895.0,USA,109000000.0,2003
Residential,115,144795350.0,USA,120000000.0,2004
Residential,194,47396698.0,USA,130000000.0,2005
Residential,84,140015224.0,Germany,133000000.0,1999
Residential,97,104374107.0,USA,105000000.0,2009
Residential,151,228430993.0,USA,108000000.0,2015
Residential,136,35799026.0,USA,126000000.0,2005
Residential,104,6712451.0,New Line,90000000.0,2001
Residential,127,101643008.0,USA,90000000.0,2000
Residential,171,187670866.0,USA,103000000.0,2000
Residential,145,132014112.0,USA,102000000.0,2002
Residential,174,261970615.0,UK,100000000.0,2002
Industrial,144,167007184.0,UK,150000000.0,2006
Residential,119,180011740.0,USA,100000000.0,2001
Residential,153,204843350.0,USA,102000000.0,1991
Residential,140,97030725.0,USA,100000000.0,2009
Residential,176,130127620.0,USA,100000000.0,2007
Residential,141,146282411.0,USA,115000000.0,1994
Residential,106,65452312.0,USA,100000000.0,2009
Residential,98,148383780.0,USA,100000000.0,2010
Residential,116,119219978.0,USA,100000000.0,2010
Residential,115,101228120.0,USA,100000000.0,1996
Residential,165,162804648.0,USA,100000000.0,2012
Residential,91,100117603.0,USA,100000000.0,1996
Residential,78,89296573.0,USA,100000000.0,2000
Residential,103,85017401.0,USA,92000000.0,2012
Residential,131,173005002.0,USA,100000000.0,2004
Industrial,104,75030163.0,USA,100000000.0,2006
Residential,101,77222184.0,Germany,100000000.0,2009
Residential,111,34964818.0,USA,150000000.0,2015
Residential,102,107515297.0,USA,100000000.0,2013
Residential,103,67631157.0,USA,100000000.0,2010
Residential,121,66862068.0,USA,83000000.0,1999
Residential,143,57366262.0,Germany,100000000.0,2006
Residential,240,116866727.0,USA,100000000.0,2013
Residential,121,184031112.0,USA,100000000.0,1995
Residential,129,54700065.0,USA,105000000.0,1997
Residential,172,27098580.0,Germany,102000000.0,2012
Residential,101,55673333.0,USA,80000000.0,2010
Residential,87,40198710.0,USA,100000000.0,2004
Residential,101,72660029.0,USA,100000000.0,2014
Residential,95,38120554.0,USA,140000000.0,2002
Residential,102,49392095.0,USA,100000000.0,2009
Residential,131,39292022.0,USA,90000000.0,2014
Residential,114,28772222.0,USA,105000000.0,2015
Residential,94,17010646.0,USA,84000000.0,2005
Residential,122,24985612.0,USA,100000000.0,2015
Residential,95,4411102.0,USA,100000000.0,2002
Residential,115,35024475.0,France,100000000.0,2010
Residential,88,130174897.0,USA,99000000.0,2015
Residential,110,10200000.0,USA,10000000.0,1997
Residential,130,202007640.0,USA,98000000.0,2001
Residential,216,77679638.0,USA,100000000.0,2002
Residential,146,9213.0,China,94000000.0,2011
Residential,85,58867694.0,USA,100000000.0,2007
Residential,93,59475623.0,USA,90000000.0,2004
Residential,152,108638745.0,USA,92000000.0,2001
Residential,85,86897182.0,USA,95000000.0,2012
Residential,126,63540020.0,France,93000000.0,1997
Residential,146,95328937.0,USA,100000000.0,2010
Residential,89,50802661.0,USA,95000000.0,2000
Residential,88,161317423.0,USA,95000000.0,2012
Residential,105,201148159.0,USA,95000000.0,2015
Residential,135,43982842.0,USA,65000000.0,2009
Residential,100,380838870.0,USA,94000000.0,2003
Residential,192,377019252.0,USA,94000000.0,2003
Residential,172,340478898.0,USA,94000000.0,2002
Residential,102,17176900.0,USA,95000000.0,2014
Residential,100,131144183.0,USA,115000000.0,2001
Residential,119,23014504.0,UK,100000000.0,2014
Residential,92,181166115.0,USA,93000000.0,2001
Residential,105,176740650.0,USA,93000000.0,2011
Residential,107,71148699.0,USA,90000000.0,2008
Residential,101,67344392.0,USA,92000000.0,2013
Residential,137,22406362.0,USA,107000000.0,2004
Residential,115,261437578.0,USA,92000000.0,2004
Residential,124,11000000.0,USA,98000000.0,1995
Residential,118,88761720.0,UK,95000000.0,2010
Residential,98,250147615.0,USA,90000000.0,1997
Residential,82,245823397.0,USA,90000000.0,1999
Residential,98,81557479.0,USA,100000000.0,2010
Residential,90,226138454.0,USA,90000000.0,2001
Residential,130,155370362.0,USA,100000000.0,2000
Residential,90,124870275.0,USA,100000000.0,2009
Residential,94,196573705.0,USA,90000000.0,2009
Residential,114,58229120.0,USA,90000000.0,2013
Residential,94,125305545.0,USA,92000000.0,2000
Residential,151,132373442.0,USA,90000000.0,2006
Residential,88,120618403.0,USA,90000000.0,1998
Residential,121,110416702.0,USA,92000000.0,2008
Residential,158,102515793.0,USA,90000000.0,2011
Residential,128,100012500.0,USA,90000000.0,1995
Residential,128,209019489.0,USA,90000000.0,2009
Residential,95,84037039.0,USA,120000000.0,2001
Residential,92,85884815.0,USA,90000000.0,2015
Residential,121,83077470.0,USA,75000000.0,2008
Residential,113,100018837.0,USA,90000000.0,2008
Residential,106,78747585.0,USA,88000000.0,2015
Residential,146,78616689.0,USA,100000000.0,2001
Residential,88,75817994.0,USA,90000000.0,2003
Residential,150,100853835.0,USA,90000000.0,1997
Residential,119,73209340.0,USA,95000000.0,2000
Residential,128,72515360.0,UK,80000000.0,2005
Residential,106,68558662.0,USA,90000000.0,2013
Residential,117,65653758.0,USA,95000000.0,2003
Residential,129,64685359.0,USA,90000000.0,2016
Residential,116,61355436.0,USA,68000000.0,1997
Residential,114,26871.0,Germany,92000000.0,2001
Residential,114,60874615.0,USA,90000000.0,2000
Residential,96,143618384.0,USA,90000000.0,2011
Residential,132,58220776.0,USA,100000000.0,1999
Residential,104,47474112.0,USA,90000000.0,1997
Residential,111,42877165.0,USA,86000000.0,1997
Residential,138,35168677.0,UK,100000000.0,2002
Residential,100,56114221.0,USA,120000000.0,2015
Residential,129,37567440.0,USA,20000000.0,1982
Residential,144,61644321.0,USA,88000000.0,2005
Residential,110,190562.0,UK,90000000.0,2010
Industrial,140,120147445.0,USA,87000000.0,2003
Residential,113,241688385.0,USA,92000000.0,1996
Residential,106,144512310.0,USA,38000000.0,2001
Residential,143,233630478.0,USA,90000000.0,2000
Residential,108,197992827.0,USA,100000000.0,2006
Residential,108,176049130.0,USA,75000000.0,2004
Residential,124,172620724.0,USA,85000000.0,1997
Residential,116,183405771.0,USA,85000000.0,2001
Residential,110,20315324.0,Germany,75000000.0,2011
Residential,91,148313048.0,USA,85000000.0,2012
Residential,107,127706877.0,USA,85000000.0,2007
Residential,115,126149655.0,USA,85000000.0,2012
Residential,100,66941559.0,USA,85000000.0,2000
Residential,104,78009155.0,USA,75000000.0,2011
Residential,138,63224849.0,USA,85000000.0,2006
Residential,140,111544445.0,USA,90000000.0,1998
Residential,120,112703470.0,USA,85000000.0,2009
Residential,122,117144465.0,USA,85000000.0,2007
Residential,83,84303558.0,USA,85000000.0,2006
Residential,139,150832203.0,USA,85000000.0,2014
Residential,131,51396781.0,USA,68000000.0,2001
Residential,104,47592825.0,USA,85000000.0,2003
Residential,130,50016394.0,USA,70000000.0,1993
Residential,145,57010853.0,USA,85000000.0,2005
Residential,104,62494975.0,USA,85000000.0,2006
Residential,97,46440491.0,UK,100000000.0,2011
Residential,178,44606335.0,USA,90000000.0,1998
Residential,108,40048332.0,USA,85000000.0,2002
Residential,106,64933670.0,USA,85000000.0,2012
Residential,112,31494270.0,USA,60000000.0,2010
Residential,135,31111260.0,USA,60000000.0,2003
Residential,109,123307945.0,USA,65000000.0,2000
Residential,86,153288182.0,USA,84000000.0,2002
Residential,95,13401683.0,UK,35000000.0,2012
Residential,107,137340146.0,USA,70000000.0,2006
Residential,82,43575716.0,USA,85000000.0,2010
Residential,88,80170146.0,USA,85000000.0,2008
Residential,120,75754670.0,USA,85000000.0,2008
Residential,162,33048353.0,USA,65000000.0,2007
Residential,123,34543701.0,USA,82000000.0,2000
Residential,101,242589580.0,USA,81000000.0,2003
Residential,113,102981571.0,USA,80000000.0,2010
Residential,110,180965237.0,USA,80000000.0,1996
Residential,142,407999255.0,USA,78000000.0,2012
Residential,102,254455986.0,USA,80000000.0,2011
Residential,126,162831698.0,USA,80000000.0,1992
Residential,83,155019340.0,USA,80000000.0,2006
Residential,85,145771527.0,USA,80000000.0,2002
Residential,120,140459099.0,USA,75000000.0,1998
Residential,116,53215979.0,USA,84000000.0,2013
Residential,113,158115031.0,USA,82000000.0,2005
Residential,87,133103929.0,USA,75000000.0,2011
Residential,101,133668525.0,USA,80000000.0,2013
Residential,110,130313314.0,USA,80000000.0,2008
Residential,128,124590960.0,USA,80000000.0,2003
Residential,138,127968405.0,USA,80000000.0,2010
Residential,88,120136047.0,Germany,80000000.0,2008
Residential,91,128200012.0,USA,75000000.0,2005
Residential,138,112225777.0,USA,80000000.0,1997
Residential,99,109993847.0,USA,80000000.0,2008
Residential,117,104054514.0,USA,80000000.0,2002
Residential,117,103028109.0,USA,80000000.0,2011
Residential,123,101087161.0,USA,75000000.0,1997
Residential,118,101111837.0,USA,80000000.0,2008
Residential,154,95632614.0,USA,79000000.0,2003
Residential,118,94822707.0,USA,80000000.0,2010
Residential,90,92969824.0,USA,80000000.0,1997
Residential,113,91188905.0,USA,80000000.0,1999
Residential,88,90443603.0,USA,80000000.0,1996
Residential,93,82226474.0,USA,65000000.0,2006
Residential,104,79363785.0,USA,80000000.0,2008
Residential,135,76081498.0,USA,75000000.0,1997
Residential,134,85707116.0,USA,68000000.0,2014
Residential,98,74329966.0,USA,70000000.0,1998
Residential,80,100169068.0,USA,80000000.0,2010
Residential,83,73215310.0,USA,80000000.0,2002
Residential,102,80360866.0,USA,80000000.0,2011
Residential,130,69102910.0,USA,80000000.0,1998
Residential,129,65948711.0,USA,80000000.0,2004
Residential,89,169692572.0,USA,80000000.0,2015
Residential,74,60507228.0,USA,80000000.0,1999
Residential,96,56684819.0,USA,80000000.0,2002
Residential,114,50628009.0,USA,90000000.0,1998
Residential,99,69772969.0,USA,80000000.0,2001
Residential,129,45356386.0,USA,75000000.0,2005
Residential,113,55350897.0,USA,85000000.0,1998
Residential,90,39442871.0,USA,80000000.0,2000
Residential,118,37899638.0,USA,88000000.0,2005
Residential,106,37754208.0,USA,70000000.0,1996
Residential,89,38542418.0,USA,80000000.0,2009
Residential,145,34566746.0,USA,80000000.0,2000
Residential,114,32885565.0,USA,80000000.0,1996
Residential,87,36073232.0,USA,80000000.0,2013
Residential,119,21471685.0,USA,44000000.0,2000
Residential,91,20950820.0,Germany,80000000.0,2003
Industrial,118,19673424.0,USA,80000000.0,2009
Residential,116,19480739.0,USA,80000000.0,2003
Residential,177,17593391.0,USA,80000000.0,1997
Residential,97,18318000.0,Australia,80000000.0,1998
Residential,106,27356090.0,USA,90000000.0,2015
Residential,106,17473245.0,USA,70000000.0,2000
Residential,94,15131330.0,France,86000000.0,2006
Residential,104,19406406.0,France,40000000.0,2009
Residential,102,1891821.0,UK,52000000.0,2005
Residential,105,23219748.0,Canada,80000000.0,2014
Residential,135,170708996.0,USA,58000000.0,2001
Residential,73,422783777.0,USA,45000000.0,1994
Residential,94,103812241.0,USA,79000000.0,2012
Residential,95,119793567.0,USA,78000000.0,2013
Residential,124,92930005.0,Germany,78000000.0,2002
Residential,136,67286731.0,USA,100000000.0,2004
Residential,91,74158157.0,USA,79000000.0,2011
Residential,107,127083765.0,USA,76000000.0,2003
Residential,108,1339152.0,France,81200000.0,2015
Residential,99,15071514.0,USA,80000000.0,2007
Residential,92,26000610.0,USA,76000000.0,2000
Residential,87,323505540.0,Japan,75000000.0,2016
Industrial,110,66462600.0,USA,78000000.0,2003
Residential,98,368049635.0,USA,76000000.0,2013
Residential,154,306124059.0,USA,75000000.0,1996
Residential,129,229074524.0,USA,73000000.0,1997
Residential,86,193136719.0,USA,75000000.0,2005
Residential,109,35286428.0,USA,76000000.0,2006
Residential,104,157299717.0,USA,75000000.0,2000
Residential,110,134568845.0,USA,75000000.0,2008
Residential,136,134006721.0,USA,75000000.0,1996
Residential,115,195329763.0,USA,80000000.0,2006
Residential,99,120776832.0,USA,75000000.0,2004
Residential,117,118823091.0,USA,75000000.0,2007
Residential,125,41814863.0,USA,50000000.0,2004
Residential,110,97360069.0,USA,75000000.0,1999
Residential,125,117698894.0,USA,75000000.0,2013
Residential,102,162001186.0,USA,80000000.0,2010
Residential,128,77032279.0,USA,60000000.0,2004
Residential,100,73023275.0,USA,35000000.0,2009
Residential,124,68473360.0,USA,75000000.0,2000
Residential,102,66636385.0,USA,75000000.0,2007
Residential,90,160762022.0,USA,75000000.0,2004
Residential,130,103338338.0,USA,70000000.0,2006
Residential,118,55808744.0,USA,53000000.0,2005
Residential,163,47379090.0,France,70000000.0,2005
Residential,142,43426961.0,USA,70000000.0,2003
Residential,100,47000485.0,USA,75000000.0,2010
Residential,116,45434443.0,USA,75000000.0,2015
Residential,131,42044321.0,USA,80000000.0,2004
Residential,91,73661010.0,USA,75000000.0,2006
Residential,123,41523271.0,USA,80000000.0,2001
Residential,134,37600435.0,USA,55000000.0,1995
Residential,148,39251128.0,USA,75000000.0,1999
Residential,110,83503161.0,USA,75000000.0,2011
Residential,113,34636443.0,USA,52000000.0,2005
Residential,94,22751979.0,USA,75000000.0,2000
Residential,116,30013346.0,USA,75000000.0,2003
Residential,99,14567883.0,UK,75000000.0,1998
Residential,93,5409517.0,USA,75000000.0,2001
Residential,113,21009180.0,USA,45000000.0,2004
Residential,106,94999143.0,USA,75000000.0,2000
Residential,91,336029560.0,USA,74000000.0,2015
Residential,128,36381716.0,USA,82000000.0,2011
Residential,98,55585389.0,USA,69000000.0,1998
Residential,134,36976367.0,USA,75000000.0,1998
Residential,97,107225164.0,USA,73000000.0,2016
Residential,112,70224196.0,USA,70000000.0,2008
Residential,153,51814190.0,USA,75000000.0,2009
Residential,110,47456450.0,USA,70000000.0,2007
Residential,122,148213377.0,USA,73000000.0,2006
Residential,87,112950721.0,USA,72000000.0,2001
Residential,178,75600000.0,USA,72000000.0,1995
Residential,125,62647540.0,Germany,70000000.0,2005
Residential,87,183132370.0,USA,75000000.0,2007
Residential,152,27796042.0,USA,72000000.0,2001
Residential,116,32616869.0,USA,72000000.0,2001
Residential,109,18947630.0,France,59660000.0,2004
Residential,108,114195633.0,USA,60000000.0,2004
Residential,85,144156464.0,USA,71500000.0,1998
Residential,106,227965690.0,USA,72000000.0,2002
Residential,93,436471036.0,USA,150000000.0,2004
Residential,117,244052771.0,USA,120000000.0,2006
Residential,116,152149590.0,USA,70000000.0,1999
Residential,132,141204016.0,USA,70000000.0,2002
Residential,92,162495848.0,USA,74000000.0,2015
Residential,139,136448821.0,USA,80000000.0,1996
Residential,153,120523073.0,USA,75000000.0,2009
Residential,142,119654900.0,USA,70000000.0,1991
Residential,101,72660029.0,USA,100000000.0,2014
Residential,124,117541000.0,USA,70000000.0,1990
Residential,117,116643346.0,USA,80000000.0,2003
Residential,141,100614858.0,USA,68000000.0,2001
Residential,110,42272747.0,USA,70000000.0,2006
Residential,109,80281096.0,USA,60000000.0,2004
Residential,88,219613391.0,USA,75000000.0,2009
Residential,124,78120196.0,USA,75000000.0,2002
Residential,119,98895417.0,USA,70000000.0,2013
Residential,103,70117571.0,USA,58000000.0,1998
Residential,116,83552429.0,USA,70000000.0,2011
Residential,125,66257002.0,USA,70000000.0,2003
Residential,125,65012000.0,USA,70000000.0,1994
Industrial,146,79883359.0,USA,66000000.0,2011
Residential,118,78031620.0,USA,70000000.0,2014
