customerID,gender,PhoneService,InternetService,StreamingTV,Contract,TotalCharges,Churn
5968-XQIVE,Male,Yes,Fiber optic,Yes,One year,6588.95,No
5168-MQQCA,Female,Yes,Fiber optic,Yes,One year,8003.8,No
4374-YMUSQ,Male,Yes,Fiber optic,Yes,One year,3899.05,No
5174-ITUMV,Male,Yes,Fiber optic,Yes,One year,6989.45,No
0750-EBAIU,Male,Yes,Fiber optic,Yes,One year,4738.3,No
3571-DPYUH,Male,Yes,Fiber optic,Yes,One year,5430.35,No
1297-VQDRP,Male,Yes,Fiber optic,Yes,One year,7379.8,No
8905-IAZPF,Female,Yes,Fiber optic,Yes,One year,6744.2,No
2560-PPCHE,Female,Yes,Fiber optic,Yes,One year,6744.25,No
4676-MQUEA,Male,Yes,Fiber optic,Yes,One year,5265.5,No
1154-HYWWO,Male,Yes,DSL,Yes,One year,2708.2,No
6815-ABQFQ,Male,Yes,Fiber optic,Yes,One year,6033.3,No
6967-QIQRV,Male,Yes,Fiber optic,Yes,One year,1667.25,No
4710-FDUIZ,Male,Yes,Fiber optic,Yes,One year,5614.45,Yes
5150-LJNSR,Male,Yes,Fiber optic,Yes,One year,3082.1,No
2731-GJRDG,Female,Yes,Fiber optic,Yes,One year,3608,No
6689-VRRTK,Female,Yes,Fiber optic,Yes,One year,4860.35,No
7134-MJPDY,Female,Yes,Fiber optic,Yes,One year,6976.75,No
4851-BQDNX,Male,Yes,Fiber optic,Yes,One year,3355.65,No
6797-UCJHZ,Female,Yes,Fiber optic,Yes,One year,6819.45,No
4913-EHYUI,Male,Yes,Fiber optic,Yes,One year,5794.65,Yes
2391-IPLOP,Male,Yes,DSL,Yes,One year,3442.15,No
7838-LAZFO,Male,Yes,DSL,Yes,One year,3597.5,No
7251-LJBQN,Female,Yes,Fiber optic,Yes,One year,4188.4,No
9978-HYCIN,Male,Yes,Fiber optic,Yes,One year,4018.05,No
8329-UTMVM,Male,Yes,Fiber optic,Yes,One year,2964,No
6647-ZEDXT,Female,Yes,Fiber optic,Yes,One year,3327.05,No
8405-IGQFX,Female,Yes,Fiber optic,Yes,One year,5817,No
2037-XJFUP,Male,Yes,Fiber optic,Yes,One year,3036.75,Yes
0691-IFBQW,Female,Yes,Fiber optic,Yes,One year,4874.8,Yes
0810-BDHAW,Female,Yes,DSL,Yes,One year,1832.4,No
3009-JWMPU,Male,Yes,Fiber optic,Yes,One year,6125.4,Yes
2239-JALAW,Male,Yes,Fiber optic,Yes,One year,6017.65,Yes
0036-IHMOT,Female,Yes,Fiber optic,Yes,One year,5656.75,No
7975-TZMLR,Male,Yes,Fiber optic,Yes,One year,4889.3,No
3104-OWCGK,Male,Yes,Fiber optic,Yes,One year,5453.4,Yes
9101-BWFSS,Female,Yes,Fiber optic,Yes,One year,5610.7,Yes
0727-BMPLR,Female,Yes,Fiber optic,Yes,One year,5509.3,Yes
2382-BCKQJ,Female,Yes,Fiber optic,Yes,One year,6413.65,Yes
1573-LGXBA,Male,Yes,Fiber optic,Yes,One year,5598,No
3199-NPKCN,Female,Yes,Fiber optic,Yes,One year,7511.65,No
1258-YMZNM,Female,Yes,Fiber optic,Yes,One year,2857.6,No
0048-LUMLS,Male,Yes,Fiber optic,Yes,One year,3247.55,No
5285-MVEHD,Female,Yes,Fiber optic,Yes,One year,6068.65,No
3865-YIOTT,Male,Yes,Fiber optic,Yes,One year,7848.5,No
5149-TGWDZ,Female,Yes,Fiber optic,Yes,One year,2239.4,No
9199-PWQVC,Female,Yes,DSL,Yes,One year,4786.15,No
2692-AQCPF,Female,Yes,Fiber optic,Yes,One year,7118.9,No
6646-QVXLR,Male,Yes,Fiber optic,Yes,One year,6383.35,Yes
2858-EIMXH,Female,Yes,Fiber optic,Yes,One year,5016.25,No
6732-FZUGP,Female,Yes,Fiber optic,Yes,One year,4615.25,No
0810-DHDBD,Female,Yes,DSL,Yes,One year,3877.65,No
7013-PSXHK,Female,Yes,DSL,Yes,One year,3208.65,No
9036-CSKBW,Female,Yes,Fiber optic,Yes,One year,5680.9,No
5832-TRLPB,Male,Yes,DSL,Yes,One year,2243.9,No
1338-CECEE,Male,Yes,DSL,Yes,One year,2839.95,No
4607-CHPCA,Male,Yes,Fiber optic,Yes,One year,2178.6,Yes
7722-CVFXN,Male,Yes,Fiber optic,Yes,One year,5637.85,No
3696-XRIEN,Female,Yes,DSL,Yes,One year,4179.1,No
8777-PVYGU,Female,Yes,DSL,Yes,One year,3410.6,No
5268-DSMNQ,Female,Yes,Fiber optic,Yes,One year,5936.55,No
6270-OMFIW,Male,Yes,Fiber optic,Yes,One year,5610.25,Yes
0887-WBJVH,Female,Yes,Fiber optic,Yes,One year,4872.2,No
0080-OROZO,Female,Yes,Fiber optic,Yes,One year,3532,No
6807-SIWJI,Male,Yes,Fiber optic,Yes,One year,3887.25,No
5370-IIVVL,Male,Yes,Fiber optic,Yes,One year,3778,No
3927-NLNRY,Male,Yes,Fiber optic,Yes,One year,4867.95,Yes
4525-VZCZG,Male,Yes,Fiber optic,Yes,One year,5826.65,No
1543-LLLFT,Male,Yes,Fiber optic,Yes,One year,6066.55,No
4187-CINZD,Female,Yes,Fiber optic,Yes,One year,4424.2,Yes
1004-NoZNR,Male,Yes,Fiber optic,Yes,One year,5264.3,No
2408-TZMJL,Male,Yes,Fiber optic,Yes,One year,6448.05,Yes
8985-OOPOS,Female,Yes,DSL,Yes,One year,74.1,No
0201-OAMXR,Female,Yes,Fiber optic,Yes,One year,8127.6,Yes
4791-QRGMF,Male,Yes,Fiber optic,Yes,One year,5961.1,Yes
7690-KPNCU,Male,Yes,DSL,Yes,One year,4688.65,No
2293-IJWPS,Female,Yes,Fiber optic,Yes,One year,5985,No
3164-AALRN,Male,Yes,DSL,Yes,One year,347.4,Yes
1131-SUEKT,Male,Yes,Fiber optic,Yes,One year,6145.2,No
2272-JKMSI,Female,Yes,Fiber optic,Yes,One year,6840.95,No
0471-LVHGK,Male,Yes,DSL,Yes,One year,3001.2,Yes
9518-RWHZL,Female,Yes,Fiber optic,Yes,One year,6254.2,Yes
5678-VFNEQ,Female,Yes,Fiber optic,Yes,One year,7412.25,No
5223-UZAVK,Male,Yes,Fiber optic,Yes,One year,6603.8,No
6718-BDGHG,Female,Yes,DSL,Yes,One year,2908.2,No
2480-EJWYP,Female,Yes,Fiber optic,Yes,One year,5458.8,No
3253-HKOKL,Female,Yes,Fiber optic,Yes,One year,5244.45,No
6362-QHAFM,Male,Yes,Fiber optic,Yes,One year,4586.15,No
8970-ANWXO,Female,Yes,DSL,Yes,One year,1756.6,No
5469-CTCWN,Male,Yes,Fiber optic,Yes,One year,6547.7,Yes
5035-PGZXH,Female,Yes,Fiber optic,Yes,One year,5914.4,No
8016-ZMGMO,Female,Yes,DSL,Yes,One year,4738.85,No
0481-SUMCB,Female,Yes,Fiber optic,Yes,One year,4735.35,No
2924-KHUVI,Male,Yes,Fiber optic,Yes,One year,5514.95,No
2886-KEFUM,Female,Yes,Fiber optic,Yes,One year,6873.75,Yes
9651-GTSAQ,Female,Yes,Fiber optic,Yes,One year,5769.75,Yes
9254-RBFON,Female,Yes,Fiber optic,Yes,One year,1704.95,Yes
5127-BZENZ,Female,Yes,DSL,Yes,One year,3512.15,No
4522-XRWWI,Male,Yes,DSL,Yes,One year,3375.9,No
8152-UOBNY,Female,Yes,Fiber optic,Yes,One year,5347.95,No
2927-QRRQV,Male,Yes,Fiber optic,Yes,One year,4312.5,No
6265-SXWBU,Male,Yes,Fiber optic,Yes,One year,6511.25,No
3584-WKTTW,Male,Yes,Fiber optic,Yes,One year,5720.35,No
2929-QNSRW,Female,Yes,Fiber optic,Yes,One year,5508.35,Yes
1899-VXWXM,Male,Yes,Fiber optic,Yes,One year,5082.8,Yes
2988-PLAHS,Female,Yes,DSL,Yes,One year,220.45,No
1442-OKRJE,Male,Yes,Fiber optic,Yes,One year,7031.3,No
4906-ZHGPK,Male,Yes,DSL,Yes,One year,3770,No
6097-EQISJ,Female,Yes,Fiber optic,Yes,One year,6615.15,Yes
9705-IOVQQ,Male,Yes,Fiber optic,Yes,One year,5969.3,No
8952-WCVCD,Female,Yes,Fiber optic,Yes,One year,4162.05,No
3658-QQJYD,Male,Yes,DSL,Yes,One year,4698.05,No
0134-XWXCE,Female,Yes,DSL,Yes,One year,3268.05,No
0409-WTMPL,Female,Yes,Fiber optic,Yes,One year,6526.65,No
2519-LBNQL,Male,Yes,Fiber optic,Yes,One year,6339.45,No
7789-HKSBS,Female,Yes,Fiber optic,Yes,One year,4599.15,No
2085-BOJKI,Male,Yes,Fiber optic,Yes,One year,1588.25,No
1265-HVPZB,Male,Yes,DSL,Yes,One year,3958.2,No
7064-FRRSW,Male,Yes,Fiber optic,Yes,One year,4744.35,No
7940-UQQUG,Female,Yes,Fiber optic,Yes,One year,6721.6,No
3946-JEWRQ,Male,Yes,Fiber optic,Yes,One year,4563,No
7188-CBBBA,Female,Yes,Fiber optic,Yes,One year,6153.85,No
7409-JURKQ,Female,Yes,Fiber optic,Yes,One year,5809.75,No
3511-APPBJ,Male,Yes,Fiber optic,Yes,One year,2292.75,No
5447-WZAFP,Female,Yes,Fiber optic,Yes,One year,5200.8,No
7336-RLLRH,Male,Yes,DSL,Yes,One year,2204.35,No
3424-NMNBO,Male,Yes,Fiber optic,Yes,One year,6287.25,Yes
0607-MVMGC,Male,Yes,DSL,Yes,One year,3600.65,No
9139-WQQDY,Female,Yes,Fiber optic,Yes,One year,4941.8,Yes
7694-VLBWQ,Male,Yes,Fiber optic,Yes,One year,7040.85,Yes
2546-KZAAT,Male,Yes,DSL,Yes,One year,3865.45,No
8272-ONJLV,Male,Yes,Fiber optic,Yes,One year,1184,No
0308-GIQJT,Male,Yes,Fiber optic,Yes,One year,7382.85,No
7833-PKIHD,Male,Yes,DSL,Yes,One year,3966.3,No
4832-VRBMR,Male,Yes,Fiber optic,Yes,One year,6792.45,No
6227-FBDXH,Male,Yes,Fiber optic,Yes,One year,6841.45,No
4123-FCVCB,Female,Yes,DSL,Yes,One year,854.45,No
8945-MUQUF,Male,Yes,Fiber optic,Yes,One year,4837.6,Yes
8894-JVDCV,Female,Yes,Fiber optic,Yes,One year,7133.45,No
2014-MKGMH,Female,Yes,Fiber optic,Yes,One year,4674.4,No
1784-EZDKJ,Male,Yes,Fiber optic,Yes,One year,5498.8,No
1136-XGEQU,Female,Yes,DSL,Yes,One year,4164.4,No
6296-DDOOR,Female,Yes,DSL,Yes,One year,1045.25,No
7951-VRDVK,Female,Yes,DSL,Yes,One year,3003.55,No
2659-VXMWZ,Male,Yes,Fiber optic,Yes,One year,7482.1,Yes
0380-NEAVX,Male,Yes,Fiber optic,Yes,One year,3343.15,No
5802-ADBRC,Female,Yes,Fiber optic,Yes,One year,5232.9,No
9917-KWRBE,Female,Yes,DSL,Yes,One year,3211.2,No
2054-PJOCK,Female,Yes,DSL,Yes,One year,4847.05,No
5732-IKGQH,Male,Yes,Fiber optic,Yes,One year,5481.25,No
3870-MQAMG,Female,Yes,Fiber optic,Yes,One year,5893.15,Yes
4800-CZMPC,Female,Yes,Fiber optic,Yes,One year,5037.55,Yes
8402-EIVQS,Male,Yes,Fiber optic,Yes,One year,6733.15,No
0002-ORFBO,Female,Yes,DSL,Yes,One year,593.3,No
3324-OIRTO,Male,Yes,Fiber optic,Yes,One year,7288.4,No
9154-QDGTH,Male,Yes,Fiber optic,Yes,One year,4451.85,No
2577-GVSIL,Male,Yes,DSL,Yes,One year,2661.1,No
2266-SJNAT,Female,Yes,Fiber optic,Yes,One year,7789.6,No
5499-ECUTN,Female,Yes,DSL,Yes,One year,3021.45,No
4612-THJBS,Female,Yes,Fiber optic,Yes,One year,5510.65,Yes
9314-QDMDW,Male,Yes,DSL,Yes,One year,729.95,No
6161-ERDGD,Male,Yes,DSL,Yes,One year,6300.85,No
5136-KCKGI,Female,Yes,Fiber optic,Yes,One year,3467,Yes
6486-LHTMA,Female,Yes,Fiber optic,Yes,One year,2835.5,No
0310-SUCIN,Female,Yes,DSL,Yes,One year,6046.1,No
5197-PYEPU,Female,Yes,Fiber optic,Yes,One year,3923.8,No
8982-NHAVY,Male,Yes,Fiber optic,Yes,One year,2673.45,No
3325-FUYCG,Male,Yes,Fiber optic,Yes,One year,2847.4,Yes
5198-EFNBM,Male,Yes,Fiber optic,Yes,One year,5199.8,No
6559-RAKOZ,Male,Yes,Fiber optic,Yes,One year,4917.9,No
6061-GWWAV,Male,Yes,DSL,Yes,One year,2894.55,No
0679-TDGAK,Male,Yes,DSL,Yes,One year,4025.6,No
0661-KBKPA,Male,Yes,DSL,Yes,One year,3942.45,No
9825-YCXWZ,Female,Yes,Fiber optic,Yes,One year,4016.2,No
4826-DXMUP,Male,Yes,DSL,Yes,One year,2495.15,No
7285-KLOTR,Female,Yes,DSL,Yes,One year,876.75,No
0654-PQKDW,Female,Yes,DSL,Yes,One year,4263.45,No
3230-WYKIR,Male,Yes,DSL,Yes,One year,1425.45,Yes
5837-LXSDN,Female,Yes,DSL,Yes,One year,1215.45,No
5945-AZYHT,Male,Yes,Fiber optic,Yes,One year,7854.15,No
1135-HIORI,Female,Yes,Fiber optic,Yes,One year,7266.95,No
4837-QUSFT,Female,Yes,Fiber optic,Yes,One year,6643.5,No
6769-DCQLI,Male,Yes,Fiber optic,Yes,One year,5426.85,Yes
5140-FOMCQ,Female,Yes,Fiber optic,Yes,One year,6557.75,No
6242-SGYTS,Male,Yes,Fiber optic,Yes,One year,5791.85,No
4531-AUZNK,Female,Yes,Fiber optic,Yes,One year,5000.05,No
5440-VHLUL,Male,Yes,Fiber optic,Yes,One year,7386.05,No
0431-APWVY,Female,Yes,Fiber optic,Yes,One year,2598.95,Yes
1169-SAOCL,Male,Yes,Fiber optic,Yes,One year,5168.1,No
5074-FBGHB,Male,Yes,Fiber optic,Yes,One year,6889.8,No
4455-BFSPD,Female,Yes,Fiber optic,Yes,One year,6383.9,No
9086-YJYXS,Male,Yes,DSL,Yes,One year,2753.8,No
1229-RCALF,Female,Yes,Fiber optic,Yes,One year,7396.15,No
4404-HIBDJ,Female,Yes,DSL,Yes,One year,1863.8,Yes
1017-FBQMM,Female,Yes,Fiber optic,Yes,One year,6703.5,No
8433-WPJTV,Female,Yes,Fiber optic,Yes,One year,6767.1,No
3763-GCZHZ,Male,Yes,Fiber optic,Yes,One year,6890,Yes
0635-WKOLD,Male,Yes,DSL,Yes,One year,2921.75,No
4644-PIZRT,Male,Yes,DSL,Yes,One year,1201.65,No
0484-FFVBJ,Male,Yes,DSL,Yes,One year,2010.95,No
2931-XIQBR,Female,Yes,Fiber optic,Yes,One year,5153.5,No
9513-DXHDA,Male,Yes,DSL,Yes,One year,2212.55,No
2065-MMKGR,Female,Yes,DSL,Yes,One year,2080.1,No
5897-ZYEKH,Female,Yes,Fiber optic,Yes,One year,7112.15,No
8715-KKTFG,Female,Yes,Fiber optic,Yes,One year,6518.35,No
6465-GSRCL,Female,Yes,Fiber optic,Yes,One year,7244.7,No
5569-IDSEY,Male,Yes,Fiber optic,Yes,One year,7472.15,No
1898-JSNDC,Female,Yes,DSL,Yes,One year,2224.5,No
5056-FIMPT,Female,Yes,Fiber optic,Yes,One year,4532.3,No
9844-FELAJ,Female,Yes,Fiber optic,Yes,One year,7475.85,No
7080-TNUWP,Male,Yes,Fiber optic,Yes,One year,6602.9,No
0496-AHOOK,Male,Yes,DSL,Yes,One year,1712.9,No
4567-AKPIA,Female,Yes,Fiber optic,Yes,One year,4454.25,No
4578-PHJYZ,Male,Yes,DSL,Yes,One year,3482.85,No
7272-QDCKA,Male,Yes,Fiber optic,Yes,One year,2688.45,No
3523-QRQLL,Female,Yes,DSL,Yes,One year,1498.2,Yes
8564-LDKFL,Male,Yes,Fiber optic,Yes,One year,4178.65,No
9055-MOJJJ,Female,Yes,DSL,Yes,One year,4068,No
3567-PQTSO,Male,Yes,Fiber optic,Yes,One year,5576.3,No
8849-GYOKR,Female,Yes,Fiber optic,Yes,One year,5763.3,Yes
4827-LTQRJ,Female,Yes,Fiber optic,Yes,One year,7210.85,No
7711-YIJWC,Male,Yes,DSL,Yes,One year,5264.5,No
6778-EICRF,Male,Yes,DSL,Yes,One year,1821.2,No
0330-BGYZE,Male,Yes,Fiber optic,Yes,One year,6157.6,No
5828-AVIPD,Male,Yes,Fiber optic,Yes,One year,1875.55,Yes
4282-MSACW,Male,Yes,Fiber optic,Yes,One year,8035.95,No
7774-OJSXI,Male,Yes,Fiber optic,Yes,One year,3066.45,Yes
9659-ZTWSM,Male,Yes,Fiber optic,Yes,One year,7051.95,No
6685-GBWJZ,Male,Yes,DSL,Yes,One year,4448.8,No
7657-DYEPJ,Male,Yes,DSL,Yes,One year,2497.35,Yes
1335-HQMKX,Female,Yes,Fiber optic,Yes,One year,7323.15,No
2172-EJXVF,Female,Yes,Fiber optic,Yes,One year,7521.95,No
1855-AGAWH,Male,Yes,Fiber optic,Yes,One year,2939.8,No
8879-ZKJOF,Female,Yes,DSL,Yes,One year,3320.75,No
5578-NKCXI,Female,Yes,Fiber optic,Yes,One year,5846.65,No
1625-JAIIY,Female,Yes,Fiber optic,Yes,One year,5685.8,Yes
1698-XFZCI,Male,Yes,Fiber optic,Yes,One year,6521.9,No
5996-NRVXR,Male,Yes,Fiber optic,Yes,One year,4116.8,No
7047-FWEYA,Female,Yes,Fiber optic,Yes,One year,4594.65,No
2000-MPKCA,Female,Yes,Fiber optic,Yes,One year,6332.75,No
5473-KHBPS,Female,Yes,Fiber optic,Yes,One year,4976.15,No
0100-DUVFC,Male,Yes,Fiber optic,Yes,One year,7308.95,No
0326-VDYXE,Female,Yes,Fiber optic,Yes,One year,6982.5,No
3756-VNWDH,Male,Yes,Fiber optic,Yes,One year,6674.65,No
7673-LPRNY,Female,Yes,DSL,Yes,One year,1843.05,No
2558-BUOZZ,Male,Yes,Fiber optic,Yes,One year,4535.85,No
0975-UYDTX,Female,Yes,DSL,Yes,One year,2312.55,No
4682-BLBUC,Male,Yes,DSL,Yes,One year,3250.45,No
9821-BESNZ,Male,Yes,Fiber optic,Yes,One year,6860.6,No
0748-RDGGM,Male,Yes,Fiber optic,Yes,One year,7534.65,Yes
2165-VOEGB,Female,Yes,Fiber optic,Yes,One year,4822.85,Yes
8417-GSODA,Male,Yes,Fiber optic,Yes,One year,2568.15,No
9677-AVKED,Female,Yes,DSL,Yes,One year,4449.75,No
5913-INRQV,Male,Yes,Fiber optic,Yes,One year,3128.8,No
2623-DRYAM,Female,Yes,Fiber optic,Yes,One year,7069.3,No
4488-KQFDT,Female,Yes,Fiber optic,Yes,One year,6423,No
0512-FLFDW,Female,Yes,Fiber optic,Yes,One year,6029,No
0795-GMVQO,Male,Yes,Fiber optic,Yes,One year,7332.4,No
1142-IHLOO,Female,Yes,Fiber optic,Yes,One year,4475.9,No
1353-GHZOS,Male,Yes,DSL,Yes,One year,1374.35,No
9378-FXTIZ,Female,Yes,DSL,Yes,One year,3715.65,Yes
2364-UFROM,Male,Yes,DSL,Yes,One year,2044.75,No
6849-OYAMU,Male,Yes,Fiber optic,Yes,One year,1888.65,Yes
2150-WLKUW,Female,Yes,DSL,Yes,One year,2635,No
7032-LMBHI,Female,Yes,DSL,Yes,One year,2347.85,No
4227-OJHAL,Female,Yes,DSL,Yes,One year,5163,No
9209-NWPGU,Male,Yes,DSL,Yes,One year,2774.55,No
6352-GIGGQ,Male,Yes,DSL,Yes,One year,5903.15,No
4415-WNGVR,Female,Yes,DSL,Yes,One year,943.85,No
1309-XGFSN,Male,Yes,DSL,Yes,One year,4079.55,No
6968-URWQU,Male,Yes,DSL,Yes,One year,2391.15,No
7868-BGSZA,Male,Yes,DSL,Yes,One year,3581.6,No
4626-OZDTJ,Female,Yes,DSL,Yes,One year,3950.85,No
2325-ZUSFD,Female,Yes,DSL,Yes,One year,3913.3,Yes
3932-CMDTD,Female,Yes,Fiber optic,Yes,One year,443.9,Yes
3594-UVONA,Female,Yes,DSL,Yes,One year,3110.1,Yes
0840-DCNZE,Male,Yes,DSL,Yes,One year,4138.9,No
1732-FEKLD,Female,Yes,Fiber optic,Yes,One year,5121.75,No
1357-BIJKI,Male,Yes,Fiber optic,Yes,One year,4858.7,No
2403-BCASL,Male,Yes,Fiber optic,Yes,One year,4534.9,Yes
9470-RTWDV,Male,Yes,DSL,Yes,One year,2083.1,No
3786-WOVKF,Female,Yes,Fiber optic,Yes,One year,7677.4,No
3886-CERTZ,Female,Yes,Fiber optic,Yes,One year,8109.8,Yes
8849-PRIQJ,Female,Yes,Fiber optic,Yes,One year,7281.6,No
4355-CVPVS,Female,Yes,Fiber optic,Yes,One year,4968,No
3692-JHONH,Female,Yes,Fiber optic,Yes,One year,5621.85,No
9592-ERDKV,Male,Yes,DSL,Yes,One year,2911.8,No
6194-HBGQN,Male,Yes,DSL,Yes,One year,4126.2,No
0406-BPDVR,Female,Yes,Fiber optic,Yes,One year,5373.1,Yes
2969-WGHQO,Female,Yes,DSL,Yes,One year,477.05,No
6199-IWKGC,Female,Yes,Fiber optic,Yes,One year,4753.85,No
0628-CNQRM,Male,Yes,DSL,Yes,One year,1544.05,Yes
0112-QWPNC,Male,Yes,DSL,Yes,One year,4059.35,Yes
7184-LRUUR,Female,Yes,DSL,Yes,One year,1441.8,No
7247-XOZPB,Male,Yes,DSL,Yes,One year,4155.95,No
2748-MYRVK,Female,Yes,Fiber optic,Yes,One year,6137,Yes
5049-MUBWG,Male,Yes,DSL,Yes,One year,1908.35,No
5120-ZBLAI,Female,Yes,DSL,Yes,One year,3876.2,No
7103-ZGVNT,Female,Yes,DSL,Yes,One year,4885.85,No
4088-YLDSU,Male,Yes,Fiber optic,Yes,One year,5743.05,Yes
5446-DKWYW,Female,Yes,DSL,Yes,One year,3965.05,No
6480-YAGIY,Male,Yes,Fiber optic,Yes,One year,5031.85,No
0565-JUPYD,Male,Yes,Fiber optic,Yes,One year,6590.8,No
2157-MXBJS,Male,Yes,DSL,Yes,One year,989.45,Yes
9360-AHGNL,Female,Yes,Fiber optic,Yes,One year,4830.25,Yes
5269-NRGDP,Male,Yes,DSL,Yes,One year,3088.25,No
5198-HQAEN,Male,Yes,Fiber optic,Yes,One year,3165.6,No
6821-JPCDC,Female,Yes,Fiber optic,Yes,One year,4692.95,No
5811-IWXYM,Female,Yes,Fiber optic,Yes,One year,5301.1,No
6425-YQLLO,Female,Yes,Fiber optic,Yes,One year,6975.25,Yes
7596-LDUXP,Female,Yes,Fiber optic,Yes,One year,979.05,No
9134-WYRVP,Male,Yes,Fiber optic,Yes,One year,4267.15,No
4369-NYSCF,Male,Yes,DSL,Yes,One year,4284.65,No
6333-YDVLT,Male,Yes,Fiber optic,Yes,One year,7138.65,No
3707-LRWZD,Female,Yes,Fiber optic,Yes,One year,2781.85,Yes
6253-WRFHY,Male,Yes,DSL,Yes,One year,877.35,No
8200-KLNYW,Female,Yes,DSL,Yes,One year,1714.95,No
9896-UYMIE,Male,Yes,Fiber optic,Yes,One year,7383.7,No
0853-NWIFK,Female,Yes,Fiber optic,Yes,One year,4483.95,No
1544-JJMYL,Male,Yes,DSL,Yes,One year,1927.3,No
6874-SGLHU,Male,Yes,Fiber optic,Yes,One year,3021.3,No
0442-ZXKVS,Female,Yes,Fiber optic,Yes,One year,6431.05,No
0575-CUQOV,Male,Yes,Fiber optic,Yes,One year,5867,No
2830-LEWOA,Male,Yes,Fiber optic,Yes,One year,6449.15,No
3633-CDBUW,Male,Yes,DSL,Yes,One year,1445.95,No
0103-CSITQ,Female,Yes,Fiber optic,Yes,One year,6252.7,No
2252-ISRNH,Male,Yes,Fiber optic,Yes,One year,767.9,No
8375-KVTHK,Male,Yes,Fiber optic,Yes,One year,6754.35,No
8999-XXGNS,Female,Yes,Fiber optic,Yes,One year,7629.85,No
0471-ARVMX,Female,Yes,Fiber optic,Yes,One year,6312.9,No
2432-TFSMK,Male,Yes,Fiber optic,Yes,One year,1633,No
2889-FPWRM,Male,Yes,Fiber optic,Yes,One year,8684.8,Yes
3680-CTHUH,Male,Yes,Fiber optic,Yes,One year,7049.5,No
9470-YFUYI,Male,Yes,DSL,Yes,One year,5012.1,No
5985-TBABQ,Female,Yes,DSL,Yes,One year,2282.95,No
7486-KSRVI,Male,Yes,Fiber optic,Yes,One year,4211.55,Yes
6305-YLBMM,Male,Yes,Fiber optic,Yes,One year,7262,Yes
0961-ZWLVI,Male,Yes,Fiber optic,Yes,One year,5290.45,No
7550-WIQVA,Male,Yes,Fiber optic,Yes,One year,5431.4,No
7544-ZVIKX,Male,Yes,Fiber optic,Yes,One year,6004.85,No
9356-AXGMP,Male,Yes,Fiber optic,Yes,One year,4428.6,No
8979-CAMGB,Male,Yes,Fiber optic,Yes,One year,6688.1,No
7581-EBBOU,Female,Yes,DSL,Yes,One year,4224.7,No
4106-HADHQ,Male,Yes,DSL,Yes,One year,3182.95,Yes
0723-FDLAY,Male,Yes,DSL,Yes,One year,3704.15,No
3569-VLDHH,Male,Yes,DSL,Yes,One year,5013,No
8760-ZRHKE,Female,Yes,DSL,Yes,One year,4982.5,No
7067-KSAZT,Female,Yes,Fiber optic,Yes,One year,6979.8,Yes
2284-VFLKH,Male,Yes,Fiber optic,Yes,One year,4920.8,No
